,CD_GEOCODM,NM_MUNICIP,LONG,LAT,ALT,geopoint
5313,520080,ALVORADA DO NORTE,"-46,51563769131","-14,4828391105338","512,133262","-14.4828391105338,-46.51563769131"
5314,520082,AMARALINA,"-49,2953772219036","-13,9254818594186","493,862207","-13.9254818594186,-49.2953772219036"
5315,520085,AMERICANO DO BRASIL,"-49,983641533748","-16,2551002852464","891,349016","-16.2551002852464,-49.983641533748"
5316,520090,AMORIN�POLIS,"-51,097167066995","-16,6179121241589","638,79824","-16.6179121241589,-51.097167066995"
5317,520110,AN�POLIS,"-48,9572179026313","-16,3288257446492","1023,435239","-16.3288257446492,-48.9572179026313"
5318,520120,ANHANGUERA,"-48,2174036920944","-18,334366032323","546,677495","-18.334366032323,-48.2174036920944"
5319,520130,ANICUNS,"-49,9590680177593","-16,4607406192493","699,9645","-16.4607406192493,-49.9590680177593"
5320,520140,APARECIDA DE GOI�NIA,"-49,2433259277011","-16,8221465",827,"-16.8221465,-49.2433259277011"
5321,520145,APARECIDA DO RIO DOCE,"-51,1514916271733","-18,2969842878477","569,531929","-18.2969842878477,-51.1514916271733"
5322,520150,APOR�,"-51,9280729999289","-18,9588774471471","556,352661","-18.9588774471471,-51.9280729999289"
5323,520160,ARA�U,"-49,6816820506525","-16,3543348065301","721,935141","-16.3543348065301,-49.6816820506525"
5324,520170,ARAGAR�AS,"-52,2468547307811","-15,8977681654152","313,683502","-15.8977681654152,-52.2468547307811"
5325,520180,ARAGOI�NIA,"-49,4509030547984","-16,9156395993745","868,760964","-16.9156395993745,-49.4509030547984"
5326,520215,ARAGUAPAZ,"-50,6347424117136","-15,0885303703699","295,328917","-15.0885303703699,-50.6347424117136"
5327,520235,AREN�POLIS,"-51,5600294917896","-16,3875456188786","420,903597","-16.3875456188786,-51.5600294917896"
5328,520250,ARUAN�,"-51,0808851466972","-14,90333238046","258,063104","-14.90333238046,-51.0808851466972"
5329,520260,AURIL�NDIA,"-50,4647657585302","-16,6767252917239","502,413427","-16.6767252917239,-50.4647657585302"
5330,520280,AVELIN�POLIS,"-49,7542258382107","-16,4619386944645","704,449372","-16.4619386944645,-49.7542258382107"
5331,520310,BALIZA,"-52,5427449421297","-16,2016366664348","356,657857","-16.2016366664348,-52.5427449421297"
5332,520320,BARRO ALTO,"-48,9157070788234","-14,9737085965343","596,580269","-14.9737085965343,-48.9157070788234"
5333,520330,BELA VISTA DE GOI�S,"-48,9524115974734","-16,9731214373005","804,465599","-16.9731214373005,-48.9524115974734"
5334,520340,BOM JARDIM DE GOI�S,"-52,1753675713712","-16,2006850337108","425,117679","-16.2006850337108,-52.1753675713712"
5335,520350,BOM JESUS DE GOI�S,"-49,7394106514873","-18,2147665091834","626,344961","-18.2147665091834,-49.7394106514873"
5336,520355,BONFIN�POLIS,"-48,9705799425652","-16,6175284340698","929,281466","-16.6175284340698,-48.9705799425652"
5337,520357,BON�POLIS,"-49,8371838013902","-13,6497465485671","272,150826","-13.6497465485671,-49.8371838013902"
5338,520360,BRAZABRANTES,"-49,3886672746655","-16,4257149363233","750,649286","-16.4257149363233,-49.3886672746655"
5339,520380,BRIT�NIA,"-51,1672851018916","-15,2385862943788","258,302524","-15.2385862943788,-51.1672851018916"
5340,520390,BURITI ALEGRE,"-49,0400651408771","-18,1330550495739","855,667439","-18.1330550495739,-49.0400651408771"
5341,520393,BURITI DE GOI�S,"-50,4344347563621","-16,1813969764783","537,928851","-16.1813969764783,-50.4344347563621"
5342,520396,BURITIN�POLIS,"-46,4310771148915","-14,4560230273582","544,835331","-14.4560230273582,-46.4310771148915"
5343,520400,CABECEIRAS,"-46,9294761862946","-15,8011558822358","911,639128","-15.8011558822358,-46.9294761862946"
5344,520410,CACHOEIRA ALTA,"-50,9447078424788","-18,7510044618506","522,403878","-18.7510044618506,-50.9447078424788"
5345,520420,CACHOEIRA DE GOI�S,"-50,6431478383131","-16,6667328024555","778,271493","-16.6667328024555,-50.6431478383131"
